d,u,t,b
"19.01.2008, 00:29",Katarina,FREE armchair located in Chexbres (between Lausanne and Vevey),"Hi everyone,
We are moving overseas in the next few days and to minimize shipping costs we are giving away our IKEA armchair to the first person that can come to pick it up. Details about the armchair are listed below and it can be seen in the picture:
  Armchair SOLSTA GYLLE (IKEA):
  - 1.5 years old
  - red
- does not recline or turn into a bed as I think the newer IKEA model does
- armchair in very good condition; about 73 x 70 x 70 (cm); FREE!
Send me a message if you are interested.
Thanks"
"11.01.2008, 13:38",Mzee10,Free furniture (Zurich),"Hi all,
I am moving to UK and, therefore, have some furniture to give away:
1) small round table (metal table top, diameter 110cm) and 4 chairs
2) wooden desk (120*80cm) with 4 drawers (45*70cm, lockable) and an office chair.
Pictures are attached. Both no beauties but FREE (have to be picked up in Neuaffoltern though).
Please PM me if you are interested.
Best,
Corsin"
"15.01.2008, 18:20",talbotd,Two English Setters  needing new home,"Two English Setter Bitches needing new home due to marriage break up and work commitments
Amber 8 yrs old  
Lannie 4 yrs old 
Both have excellent temperaments  Kennel Club registrations  Pet Passports(need updating) chipped.  Free with bedding leads and other equipent  both in need of good homes love and affection.
They are well trained, do not bark"
"10.01.2008, 05:36",jrspet,[ZH] Looking for a free USB flatbed scanner ( XP ) and headsets,"If there is someone who is willing to give away a  pre-loved USB scanner for Windows XP for a good cause, I'd be very interested. Also appreciated are 3 x used headsets ( speaker & mic ).
Items will be used in a free computer appreciation course attended by asylum seekers in Kreis 11.
Thank you."
"01.01.2008, 12:33",emilian,Nokia phone needed,"Hi all!
Does anybody have an old mobile phone no longer in use, that can be spared? A Nokia will do, or any other if it comes with a charger. I'll throw in beers for it, in Zurich!
Many thanks!
Emilian"
"28.12.2007, 16:05",Grahame,"[NO LONGER AVAILABLE] DELL/Sony Trinitron 19"" CRT Monitor","DELL/Sony Trinitron 19"" CRT Monitor
Max Resoltion 1600x1200. Max Frequency 75Hz
Great Colors. Top working condition, incl. Cables.
Color : Black/Grey
Allround an excellent Monitor. I am offering free to anyone who is able to collect (Zurich 8038, Approx weight 30Kg). Would be a pity to throw away!"
"24.12.2007, 13:27",Cassie,"[GONE] 2 mattresses FREE [Thalwil, Zurich]",2 x single mattresses 90 x 200 x 16 - FREE Will squash over to fit in small car.Pick up Thalwil before Dec 31stPM Me
"06.11.2007, 10:51",Mr Happy,3 piece sofa set + walnut finish furniture in flums,"Guys, 
As the lucky recipient of some free furniture I would like to get rid of it or turn it into firewood.
We have a 3 seater white sofa, a matching 2 seater and a matching arm chair to go.  Quite good quality, not Ikea and will suit most neutral rooms).  I have a picture for those interested PM me.
Location is Flums, near Zurich.
Also at the same place I have a wardrobe, approx 2m long and matching display cabinet (glasswear and storage) also about 2m long.  Both in a lovely walnut wood finish that will make them lovely to someone who likes that sort of thing.  Again a picture is available for those that PM.
There's also a couple of matching (walnut) bedside tables though these are in not so good condition (e.g. someone actually used these).  
All products are free for you to collect.
And if you need to hire a van then I need to move some stuff from Oerlikon to Flums too..  just in case that suits..."
"18.12.2007, 12:56",Mr Happy,washing machine @ flumserberg,"if you can lift it you can have it.
currently working, old but rarely used.
not huge capacity but its better than wearing clothes that smell."
"16.12.2007, 13:16",Zug bound,Rugs free to a good home,"If anyone is interested, I have two largish rugs, one is beige and the other grey and black. I will be taking them to the brocki in Cham tomorrow unless someone PMs me. I would be glad to deliver them in the Zug/Cham/Walchwill area. No pictures available I am afraid. But they must be gone by tomorrow (Monday)."
"10.12.2007, 13:00",kittyk8te,Food Processor - Geneva,"Kenwood Food Processor with attachments.
Approx. 10yrs old but good working order.
English power plug - can be used with adaptor or straight switch to Swiss plug.
Collect Geneva Area. Please PM me for details."
"26.11.2007, 11:25",Fern,Free furniture in Zürich!,"Hi all,
We're leaving Zürich in a little over 2 weeks and have a few pieces of furniture we'd like to give away.
You can see them at this link -http://www.flickr.com/photos/21206340@N08/
It appears the shelves have a new home but the rest is still available.
Most of it is from ikea.
The wardrobe needs to be put together properly, probably with the help of nails (which we can provide) as it's lost some of the bits that hold it together.
We're located near Milchbuck tram stop, pm me if you're interested!"
"04.12.2007, 13:32",telandy,Motorway Vignette 07,"Vignette 07 to give away, valid until end of Jan 08. Pm if interested and I'll pop it in the post. (Still on its original backing paper)."
"02.12.2007, 21:55",hanad,looking for free Gefriertruhe,"hallo  everyone lhave small kühlshrank and we are waiting guest 5 people coming on 15 of december ,l wish to get free or good prize of gefriertruhe so we can be able to manage frozing items
thanks for helping"
"13.11.2007, 13:30",jubjub,Free Moving Boxes and Packing Paper,"I've got 32 assorted moving boxes (mainly small size) and packing paper to give away. Pick up in Zurich, Wollishofen.
Jana"
"20.11.2007, 16:32",hugh_abu,Lift to Basel Airport,"Hi all,
Is anybody driving from Zurich to Basel tomorrow evening?
I would be grateful for a lift and am happy to pay whatever you feel would be appropriate.
Many thanks for any offers.
Regards,
Hugh"
"21.11.2007, 15:21",thoean,Le-Shop.ch: 30 CHF voucher,"I have a voucher that can be used at le-shop.ch; worth 30 CHF; no other limiations.
I won't use it (still need inspiration while doing groceries), so I give it away to the first who is buying me a cocktail at the next EF meeting (official or unofficial doesn't matter - next chance tonight)."
"16.11.2007, 11:00",Nanda,[Aargau] puppies to give,A colleague's put up an ad for 6 puppies to give away soon. PM me if you're interested.
"17.11.2007, 21:28",Debs,TV/Lounge Storage Unit - Geneva,"Free if you can take it away, we are leaving Switzerland so needs to be  before 26th November!
I have a TV/Storage unit in my lounge that is rather large. It will probable need to be slightly disassembled in order to remove it.
One the positive side it has loads of storage, and looks good.
It was bought from Fly a year ago for around 600CHF
Slight damage around the handle of the cupboard but otherwise in good condition."
"11.09.2007, 22:56",setch,Two cute three month old kittens,"Two kittens are looking for a new home.
Both are 3 months old ,one is a ginger boy and the other a blackish gray young lady.
If anyone is interested in taking them on for the next 20 years maybe drop me a line.
The kittens are in thurgau and would like to be picked up here.
They have been wormed and had the flea drops, also very friendly and used to dogs."
"15.11.2007, 14:32",Blaze,Canon IP4300 Printer,"I have a Canon IP4300 printer to give away. Catch is, a couple of the ink cartridges are empty.
Pickup would be in Biel.
Otherwise, it's going for recycling."
"13.11.2007, 23:20",Bookworm,Free breast pump + accessories,"Free AVENT manual breast pump with all the parts included. Only tried out a couple times. Comes with 2 baby bottles.
Free Symphony pump set. Also used but all parts included, lots of extra parts too. 
Please PM me if interested."
"07.11.2007, 14:50",Jonathan_hughes76,FREE: Lot of toys for girl. Ages 3-7. Horgen,"FREE: Lot of toys for girl. Ages 3-7. Horgen
Collection only. From Horgen.
We are having a bit of a clear out at the moment.
The aim is to find new homes for these, to give them a new lease of life, rather than throwing them away.
Please send me a private message (titled ""Lot of Toys for girl"") via this Forum if interested.
There are about 12 paper carrier bags of items, so you will need a car to transport them.
Generally all in good condition.
*** Please note some of these items may have already gone as we are asking the neighbours if they want  any items for their children.
Also YES she does know that we are giving these away, so no off-topic/wise crack replies to this posting please!
Many thanks
1. Soft toy Bagpuss
2. Toy Pram
3. Fisher Price Fairy Castle and various bits to go with it
4. Tierras
5. Bag of various Soft toys
6. Barbie Car
7. Barbie carriage
8. Nice Bags, hand bags for girl
9. Teletubbies
10. Chad Valley Busy Beads (age 5+) 
11. Chad Valley create tapestry
12. Building bricks/learning bricks
13. Soft bears
14. Dressing up clothes and play shoes
15. Barbie Phone
16. Dolls and clothes
17. Snowboarding baby. Yes you read right.
18. Nice lamp with pink shade.
etc...
A picture is worth a thousand words. See attached pictures.
Horgen is near Zürich
See below for map to the town:http://maps.google.co.uk/maps?oe=UTF...wloc=addr&om=1"
"04.11.2007, 13:24",Jonathan_hughes76,Free: 2 old computer related books - Horgen,"Free: 2 old computer related books - Horgen
But of a long shot, but someone reading this may want these.... before we dump them.
Would prefer to recycle them by giving them away.
Books
(1) Complete Guide to Micro$oft Excel Macros
Chris Kinata and Charles W.Kyd
1993
Covers Micro$oft Excel 4 for Windows and Mac
Will still be useful to anyone starting out on Excel Macro stuff, as methods will still work with later versions of Micro$oft Excel
(2) The Whole Internet, 2nd Edition. User's Guide and Catalog. Ed Krol. O'Reilly
April 1994
Bit of history this one.
See: http://en.wikipedia.org/wiki/Whole_I...de_and_Catalog
Collection only. From Horgen.
Price FREE
Please send me a private message (with subject title Free Books LOT1) via this Forum if interested.
(We are having a bit of a clear out at the moment so look out for more good items for sale soon!
Including some Barbie toys, boys toys and girls children's toys as well)
Many thanks
Collection only. From Horgen. Horgen is near Zürich
See below for map to the town:http://maps.google.co.uk/maps?oe=UTF...=1&output=html
p.s.
$ is not a typo!"
"21.10.2007, 16:43",bmaundrell,Wardrobe and Double bed,"I'm returning to the UK and have:
Large Double bed 
Wardrobe (200cm x 60cm x 201 cm) Ikea PAX, Birch  
Must give away before 15th November.
Collection required. 
Situated in Basel Town Centre.
Can send photos via email."
"22.09.2007, 13:50",Whirlwind,Interio Shushrank with mirror door- FREE (Zürich),"Interio Shushrank Griffe Aluminium, 45x15x180 cm, holds 30 shoes (mounted on wall) 
I am moving next week and need to get rid of a a shuhshrank I purchased from Interio for about CHF 300 15 months ago. It is in excellent condition, the only problem is that it is mounted to my wall. I had it professionally installed. It holds approximately 16 pairs of shoes.
If you are a handy person or willing to hire someone to come in and pull it apart (and ensure my walls are OK afterwards), then it is all yours!
Please respond to this message if you are interested.
Thanks!"
"22.10.2007, 14:48",moi11,Giving away IKEA EKESKOG sofa bed,"Hello,
I am moving from Aarau and don't have space for this one year old three-seat sofa bed.
It's blue and in perfect conditions and FREE!
At the moment it's sitting in my flat in Aarau, so if you're interested please email me. 
Bear in mind this is a heavy piece of furniture, if you are picking it up make sure you have a few friends that can lift it and carry it down one flight of stairs.
Thanks
Anna"
"07.11.2007, 13:28",Jonathan_hughes76,FREE: Lot of toys for boy. Ages 3-7. Horgen,"FREE: Lot of toys for boy. Ages 3-7. Horgen
Collection only. From Horgen.
We are having a bit of a clear out at the moment.
The aim is to find new homes for these, to give them a new lease of life, rather than throwing them away.
Please send me a private message (titled ""Lot of Toys for boy"") via this Forum if interested.
There are about 19 paper carrier bags of items, so you will need a car to transport them.
Generally all in good condition. 
*** Please note some of these items may have already gone as we are asking the neighbours if they want any items for their children.
Many thanks
1. Little Tikes Rocking Horse. Red
2. Sea rescue helicopter
3. About 60 toy cars. Matchbox ones, or matchbox type like. + 4 tactors + motor bike
4. Police Motor bike thingy. Makes lots of noises, flashing lights and has steering wheel.
5. Thomas The Tank Engine Train
6. Thomas Cracky Crane
7. Playmobil dinosaurs
8. Bob builder jigsaw
9. Templates for outline drawing of animals etc...
10. Thomas the tank engine wooden picture
11. Superman costume.
12. Thomas Island Tour - story book (in English) with fold-out track and wind up engine.
13. Mega blocks Teenage Mutant Ninja Turtles Combat Lair Construction Kit
14. Mega blocks Pirates of the Caribbean
15. Mega blocks Car kit
16. Toy UK money
17. Various toy Musical instruments.
18. Leopard jigsaw - 500 piece
19. Dressing up clothes. e.g. cowboy, knight
20. Winne the Pooh Alphabet Floor Puzzle. Large pieces. Age 2+
21. Set of toy power tools.
22. Fisher-Price cowboy town with figures + horses + wagon
23. Fisher-Price Imagnext Pirate Ship
24. 38 toy farm animals + Africa animals. e.g. elephants, lions, lots of giraffes, zebras
25. Wooden Battle Ship - 15 pieces
26. Build a story on the farm. Add pieces to each picture to help the farmer around the farm
27. Big train track + cars + farm
28. Halli Galli Crown Game
29. Bob the builder jigsaw
30. Spiderman jigsaw book + stickers + activities 
31. farm dominos
32. Spell it out (age 4+). 30 picture and 90 lettercards to help children spell (in English)
33. Letter match
34. various other puzzles
35. monsters  Inc Jigsaw
36. Knights
37. Nice large soft toy hanging monkey
etc...
A picture is worth a thousand words. See attached pictures.
Horgen is near Zürich
See below for map to the town:http://maps.google.co.uk/maps?f=q&ou...,+8810&zoom=4#"
"06.11.2007, 17:05",ksu,Looking for free furniture,Hi! I'm a PhD student. I'm moving to Zurich in the middle of November. I found the apartment to stay from the 1st of December. So I need furniture very much. What could you offer? Thak you very much in advance.
"05.11.2007, 13:50",SteveSP,Free: 2 unopened IKEA shelves [Zug],"Hi,
I ordered two ikea wallboards which i don't really need anymore.
The price was 20CHF per board and i ordered 2.
I can give it away to anyone who is interested.
The colour is dark brown/black and i live in ZUG.
They are not even unpacked!
Measurements:
Länge: 110 cm
Tiefe: 26 cm
Stärke: 5 cm"
"28.10.2007, 15:24",Nkana,Conference Phones x2 and Answerphone,"2 business conference phones and 1 answer machine available. 
All used but excellent working order & condition. If interested, let me know. Am in the Zürich area."
"27.10.2007, 18:07",DENIM212,Looking for free laptop,"I am student in Geneve. 
I hope somebody have some old laptop becouse that I am looking for free laptop.
Best wishes,
Denim"
"22.10.2007, 14:57",moi11,Free IKEA HOPEN wardrobe,"Hello,
I have this one year old Hopen wardrobe I do not need anymore. It's in perfect conditions and FREE!
Bear in mind this wardrobe is in Aarau and you will need to organise delivery or come and pick it up.
Available as of today.
thanks
Moi11"
"10.09.2007, 19:12",GunniBerg,Looking for furniture in Lugano,"Hey there. 
We just got an apartment in Lugano, rather big and we only have two inflatable mattress. So we are looking for anything. If you have something you don't need anymore (like a 50 inch flat screen) we will look at anything.  
Greetings from Lugano 
Gunni Berg"
"10.10.2007, 09:32",am853,Free double bed - buyer collects,"Need to get rid of double bed. Mattress approx 1.50m width. Head board with attached bedside tables and bed frame. Can send pictures. All in good condition.In Zug, 5th floor walk up and you will have to collect it."
"22.10.2007, 15:40",evianers,lounge suite wanted,"we are still looking for a light coloured, modular lounge suite - any material but must be clean: dimensions not greater than 81 x 183 as the doorway's extremely narrow [old Walliser house]. Will collect of course. Ricardo have loads but with the weather becoming increasingly worse, getting over the various passes is not an option until springtime! TIA"
"21.10.2007, 20:41",Hennie,Free furniture,To give away from our flat:Chest of drawers Display cabinet with 3 drawersRotating unit with shelves and large mirror for clothesEverything is in a very good condition. You need to collect it from Zürich Oberengstringen  5 minutes from Frankental  the last station of tram 13.Hennie
"15.10.2007, 20:47",smackerjack,Free double Mattress,Free double Dixi mattress. Excellent condition. I am near Yverdon VD.
"19.10.2007, 16:25",stamp,Free Books,"Due to my move, I have to give away a part of my library, so if you are interested , or know of someone that can use them , drop me a post. I am around tonight and this weekend , lost within cardboard boxes and sticky tapes, so you can pick them up from Mannedorf 
There are about 40 of them, mainly from auhors like 
Jasper Ffforde
William Gibson
Philip Roth
Dave Barry
Ian Rankin 
James Patterson 
Luis De Bernies
Also, several others, like H. Potter or Sue Towsend books and some Booker or Pulitzer winners..
anyhow, they are the ""second crop"" of my library and cost a fortune to be shipped  but still deserve a decent home"
"14.08.2007, 17:09",Paul Seldon,Free SMS offering web sites?,"HI -
   I'm looking for web-site providing the limited number 
   of free sms per month.
   It would be really appreciated.
   Thanks -"
"12.10.2007, 17:56",AZ2007,Free Round Dinning Table - Lausanne,"Hi all, 
I have a round solid wood dinning table to give away:Diameter : 110 cm Height: around 75 to 80 cm Usual dark wood color I'm in Ouchy area, Lausanne. Please PM me if you are interested to arrange a pick up. Sorry that no picture will be available. 
Cheers,
AZ"
"04.10.2007, 01:14",Princess Leia,"Last call, free electronic and related items to give away: (zh)","Last call, free electronic items to give away: 
* HITACHI VT-FX695  Hi-Fi stereo VHS VCR (video recorder) with remote. Unused. Hi-fi stereo, 4 head video, front and rear AV inputs, AV outputs, auto/manual tracking, still adjust, SQPB (SVHS Quasi Playback), auto clock set, VCR+, more. Has a North/South American electrical outlet plug and runs on 120 V. free
* Iron, Phillips, free
* Swisscom telephone, free
* Old cell phones / Handys, not sure any work or work well. Might be used for parts, trade-in, Nokia, Siemens, etc., free
* 2 Siemens SIM-card holders, part number: C198, I know they fit the S35i and S3568i models, maybe other models too, free
* Cell phone belt clip, black leather (not sure if real), 9x5x2.5, free
* Phillips answering machine, free
* Keyboard (Swiss), works, free
* Older external portable CD-ROM player for computer - anyone have any use or need for this?"
"24.08.2007, 10:57",integrity,Free Sofa Bed (Three Seater with Double Bed),"Hello,
We have a 3 seater sofa bed (double bed that opens up) that we would like to give away as we are moving place. The sofa is green, works fine but we have another where we are moving so we do not need it.
Please let me know if it would suit you. It just needs picking up."
"06.10.2007, 08:04",Polorise,Free WLAN Roter - Bern,"Have a free router looking for a home, is nothing fancy but does support WPA.
Is a freebie I picled up from FON this week, youu can either open up a channel for ""open"" use or close yourself, you decide. Have one of these at home & has worked a charm for the last three months.
Please note, I am not affiliated to nor endorsing FON."
"08.10.2007, 10:29",SwissMs2000,Free Book!,"Free to a good home- What to Expect when you're Expecting by Eisenberg, Murkoff, & Hathaway (ISBN# 0-89480-829-x). Pick up in Zug or it can be sent via post for the postage."
"27.09.2007, 22:35",jot,2 PC Network Cards to give away,"Hi,
due to dismantling and dumping my old desktop PC I have 2 PCI network cards that I had added (10/100Mbps Fast Ethernet) to give away for free.  Both in excellent working condition with original packaging and installation CDs etc..
D-Link DFE-528TX
D-Link DFE-530TX
i.e. both previous models of this: http://www.dlink.com/products/?pid=122
Not sure if anyone will want them in this wireless age, but just in case... 
PM or email me.
cheers,
jot"
"04.10.2007, 10:21",Princess Leia,Princeton U. architecture book / Columbia Business school fancy paper clips w/tin,"I have the following to pass on:
- Princeton University architecture tour book, thick glossy pages. (May be useful for an international school college placement center.)
- Columbia Business school fancy paper clips (with insignia) in a
tasteful tin. Will look very swanky on your work desk 
Contact me if interested - L"
"22.09.2007, 13:54",Whirlwind,IKEA Hopen Shelves- FREE (Zürich),"Hi, I purchased too many IKEA Hopen Shelves for my wardrobe. So, if you need some, feel free to come get them for free. Please respond to this message if you are interested."
"28.09.2007, 19:49",angad.makkar,"free books, beanbag chairs","Hi all,
I have some free German language books (the Migros Klubschule language center ones plus some others) and a couple of beanbag chairs to give away. 
For the books, you won't need a car to pick them up. The bean bag chairs
are rather large, so you would definitely need a car. I am in Zug; send me a personal message if interested or respond to this thread.
cheers!"
"30.09.2007, 22:20",movies_masala,Free Mattress,"Hi,
I have one queen size mattress to give away for free in Zurich. I have attached the photograph of the mattress.
With Regards,
Abhai Bhargava"
"27.09.2007, 00:02",rajivs02,Free 2 beds (cots) in Zurich,For free pickup from Schwamandingen in Zurich 2 6-month old beds(only cots) - 1 king size double bed and 1 queen size double bed... only the beds (cots) not the mattresses...in absolutely fine condition... have to be picked up by 4:30 pm on Thursday (27th Sep)... both bought in Ikea costed 210 francs and 175 francs respectively...
"23.07.2007, 19:41",ricardo,[Zurich] Free IKEA table to giveaway,"Hi.
For anyone interested I'm giving away an IKEA kitchen table after doing an ""upgrade"" (it is in perfect condition).
The table is free for anyone who wants to pick-it up.
Please notice that I'm only giving away the table and not the chairs.
Thanks
PS: The product URL is here : http://www.ikea.com/ch/de/catalog/products/30103148"
"27.09.2007, 23:21",cchalet,Free Furniture,"Hi We are moving to Switzerland hopefully the 1st April. We have sold our French house, Les Pontets, near Mouthe, about 1 1/2 hours from Geneva in the Jura Mountains. We have to move out in December and have quite alot of spare furniture. The house we are buying in Vercorin/Sierre is also furnished and there is also some unwanted furniture there too but it will not be available until the 1st April. In the French house there is quite alot of furniture, it was all bought new for the house and the house has only been used by our family for 6 weeks a year for 3 years. It is mainly from IKEA and Atlas. There is also a dishwasher and a grass trimmer etc.. If you would like to look at the list with photos then please email me at charlotte.gaisford@craftycomputerpaper.co.uk and I can send it, it is quite comprehensive list. If you want it you would have to take it all either for the French house or the Swiss one.
I very much look forward to hearing from you
Charlotte ( emailing from the UK)
PS really looking forward to coming to Switzerland"
"12.02.2007, 21:49",jot,Nike Football boots... free to a good home,"Hi,
I have a pair of Nike ""Total 90 II SG"" footie boots to give away.  
Very good condition.  Purchased new approximately 2 years ago, but just hardly used and taking up space (worn about 5 times).  Would prefer to see them put to good use rather than ending up in the shoe collection sack!  Complete with original box if wanted (not very swiss, I know ).
Colour: Blue/obsidian.  Metal tipped screw-in studs.
Size 6.5 UK/7.5 US/40.5 European.
See attached photo.  PM or email me if you want them!
----
UPDATE: The boots have now been given away."
"20.09.2007, 17:43",nathan,Free 1996 Saab 900,"Free saab 1996,900 black 128k fsh 1 mouth english MOT/tax rhd english plates and papers. In good condition with all old mots but its not worth me driving home to sell. take it for the parts if you have a 900 it run well."
"21.09.2007, 17:41",Schnubbu,Free Stuff and For Sale in Bern,"I am moving out of my apartment in Bern on Monday and have a few things to give away and sell. I'd like it if the stuff could be picked up tomorrow. I will not deliver anything.
A dark rose coloured 2 seater sofa with feather filled cushions. It is old, but very comfy and in good condition. I love it, but it is the wrong color for me. Price: Free.
Printer - HP Deskjet 5150. Works fine. Comes with necessary cables. Has a white paint brush stroke on one side from a painting mishap :-). Price: Free.
Desk or Piano Lamp - Bought this at Laura Ashley a couple years ago for almost chf 300. It is heavy brass with a white glass shade. My taste has changed. Price: Best offer.
Little 2 drawer thingy from Ikea. I used it to hold pajamas. It isn't particularly sturdy but it is in okay condition. Price: Free.
Mirror - From Ikea, Antikbeize color. The mirror is in super condition and I paid chf 129 for it. Again, my taste has changed. Price: Best offer. http://www.ikea.com/ch/de/catalog/products/10121252
Alessi Espresso Machine for the stove - Switched to Nespresso a year ago. Price: Best offer.
Blue-Grey Samsonite suitcase. One size larger than cabin luggage size. One zipper is broken, the other works fine. Still can be used no problem as is, or taken to be repaired. Price: Free.
Odds and ends from Ikea such as glasses, a basket and anything else I might find around. Nothing especially valuable, but perhaps interesting to someone who needs a few things. Price: Free.
Sorry no pics of other things - my camera is packed. If interested give me a PM tonight or tomorrow morning."
"19.09.2007, 15:09",elm505,Free single mattress,"Free single matress 90x200cm. Not damaged, has some stain."
"10.09.2007, 11:02",Nanda,wardrobe and double mattress to give,"Anyone interested in the wardrobe, please PM me (first come first serve).
Also not pictured is a 140x200 mattress to give. 
To be collected from Zurich City asap.
~ Nanda."
"22.08.2007, 21:25",Bartholemew,free Grundig TV in Zurich,"We've got this Grundig television to give away:http://www.grundig.de/index.php?id=3...70&no_cache=1v
Bought in 2003, the television is fully functional, but does not have a dual language function and is ""classic,"" meaning not flat screen or LCD.
Must be picked up in Zurich.
Drop me a PM if interested."
"16.09.2007, 21:21",dkwon,Free computer tables and file hangers,"I have two IKEA file-hangers and two computer tables. 
And a clothing drying stand."
"13.08.2007, 13:27",Nathu,Denner glasses rebate,"I'm a bad Denner customer. Few weeks before the end of the promotion I have only filled half of the discount card with stickers. With a half-full card somebody can buy one of a variety of four glas sets at a reduced price (9-15 Fr. instead of 23-38).
If somebody is interested in this deal or planning to buy these glasses anyway, drop me a private message.http://www.denner.ch/de/aktionen/aktionen_5835.htm
Edit: Private message recieved"
"04.09.2007, 20:15",Princess Leia,"ZH: Give away: Old issues Health, Natural Health, Body & Soul, Organic Style, New Age","Zurich: Issues of Health, Natural Health, Body & Soul, Organic Style, New Age and Alternative Health magazines to give away.
Hi all,
I am cleaning out my apt and have lots of old issues of magazines
called:
Health,
Natural Health,
Body & Soul - Balanced Living in a Busy World,
New Age - The Journal for Holistic Living,
Organic Style,
Alternative Health.
(BTW: A number of these magazines, like Health and Natural Health, have oodles of great healthy recipies in each edition so I figured Id ask if anyone'd like the magazines for the recipes. I thought it would be a waste to just throw out all those great recipies.)
I am in Zurich."
"15.09.2007, 21:50",Princess Leia,"Anyone need shoes boxes, Amazon boxes/cardboard  envelopes, general boxes? (Zurich)","I have accumalated a fair collection of shoe boxes, Amazon boxes/cardboard envelopes, and other boxes of various sizes (boxes used to post things to me). If anybody could make use these, please let me know.
Pick up in Zurich near SihlCity.ch"
"05.09.2007, 22:27",pradbis,Free Furniture,"Hello,
I am giving away the following furniture (not the TV and dvd player). They have a lot of storage space and in pretty good condition.
Please PM me if interested.
I am located in Bassresdorf very close to Oerlikon
Regards
Prad"
"12.09.2007, 18:27",Momus,Free Mouse Cage with all the bits ( except the mouse ),"Hello you lovely people, 
Due to the recent departure of Brian my fluffy white friend, I have a brand new mouse cage to give away to anyone who wants it. 
It cost me about 40 CHF a few months ago, and I have all the bits to go with it ( water bottle, food & bowl, sawdust, a little house, a wheel, and a roller ball thing that they can run around on the floor in ) 
Basically, would be the perfect kit for someone wanting to keep a mouse for the first time. Good present for a little kid, maybe ( or a big kid, like me, natch )  
Just drop me a line, I live in Geneva and ideally you should collect it one evening but I'm flexible."
"08.08.2007, 21:46",cyrus,Samsung TV / Ikea Coffee Table,"Ok, no luck selling it, someone can come and take it away.
Samsung TV
Model CW-683CNG
28"" CRT TV
PAL/NTSC
Works fine here, picks up all terrestial Channels, does the dual sound too.
English plug
And coffee table, Ikea originally I think."
"08.09.2007, 10:32",cinders,How to donate [furniture] in Zurich?,"We may have some furniture to donate if we don't sell it. Can anyone suggest a brockenstube in Zurich? Does anyone have any experience donating that you can share? I'm just worried about contacting them with enough time to have them pick it up before we leave the country.
Thanks - Kristin"
"04.09.2007, 13:37",ecm,Angelcare Nappy Bin to give away,Anyone interested in an Angelcare Nappy Bin?  Has been used twice (2 cartridges) and has been throughly cleaned.  Can be picked up in Luzern or possible arrangements for pickup in Zurich or Bern.
"24.08.2007, 16:21",onimusha,Looking for an old Nokia charger in Zürich,"My friend has lent me an old nokia phone to use whilst I wait for my UK phone to be unlocked for my swiss SIM card but he had no charger so ofc the battery is now dead.
If anyone has an old charger they dont need laying around in a draw or something that would be really helpful to me. 
Please note that I need the older/bigger one of the two. The new Nokia charger is much smaller and would be no good for this ""brick"" of a phone 
Cheers Guys."
"05.07.2007, 14:43",telemark,[FOR FREE] 3 'directors' chairs [TAKE THEM],"3 directors chairs, beech wooden frame and cream fabric, they fold also; free if you collect from Nyon. call 079779 4832"
"29.08.2007, 20:39",hornetzoo,would anyone give me an old pocket pc,Please contact me or post here if you have an old pocket PC (preferably with edition 3.0 or newer).  I live in Zurich.  I would be willing to negotiate or help you out somehow.
"21.08.2007, 14:25",Venkat,Free furniture in Bern,"I am planning to give off my furniture. A 3 seater sofa and 2 single seater sofas and a CD stand with racks and rollers. This is all for free.
I am in Bern city. Interested ?? PM me.
You have to arrange your own transport.First come first served.The catch is all these have to be taken off by tomorrow (22.08.2007) morning 8 AM."
"22.08.2007, 23:08",paolo_eh16,Free Small TV - ZURICH,"Free portable TV with in-built VHS player.
Works - don't know if it works in Swiss.
UK plug.
That's about the wealth of my knowledge on telly's.
Pick up Zurich Enge"
"13.08.2007, 11:25",ip2012,Wooden Shelves for free,"Hi,
Two Wooden Shelves, white coloured, available for free. The only condition is you have to come and pick them up. Location: Witikon area, 8053 Zürich (Zone 10). 
Shelf 1 - Approximately 7' x 4' x 1'
Shelf 2- Approximately  7' x 6' x 1'
Shelves are in excellent condition. Would like to dispose them off by this weekend. 
Will try to post pictures, but can't promise"
"21.08.2007, 11:50",Bartholemew,free Nestle book,"I've got two copies of a new book on Nestle's history: ""Transformational Challenge: Nestle 1990-2005."" Though it's sort of a corporate rah-rah job because Nestle is the author/publisher, it does has some interesting details. I have one English and one French version - free to a good home.
Drop me a PM if you're interested."
"03.08.2007, 19:58",Dave70,More Free Furniture in Oerlikon!,"Must be collected - first come first serve.
See the attached pictures.
Approximate sizes:
Red Box - 60cm x 45cm
White Chair - 75cm x 75cm
Red Cabinet - 150cm x 60cm x 60cm"
"09.08.2007, 09:28",brettt,Free Exercise Bike and TV in Nyon,"Hi, we're moving to the States and need to lighten up a bit.  Have a nice exercise bike, can't be bothered trying to sell it... same with the TV.  
Bike is 3 years old from Germany:http://picasaweb.google.com/mrbrettjones/ExerciseBike
and the TV is a nice boring black Sony Triniton 29 inch.  Free to a good home.  Need to be picked up between the 13th and 16th of August.  
Please email :
bananarepublics at gmail.com"
