d, u, t, b
"17.06.2012, 14:41",ecb,"Pine Bed, bedside chest of drawers for Free Baselland","Pine bed.  150 cm wide by 180 cm long.  Has wooden slats as mattress base.  There is a mattress too and pine bedhead.
This bed is not the newest (I think around 10 years old) but the good news is that it has only ever been our guest bed - so perhaps is slept in for a maximum of  .. oh .. 25 days a year.  So hardly used in fact ...
You are more than welcome to the bedding as well .. which is much newer! (last set bought about 4 years ago).
3 drawer chest of drawers matching the bed.
We can help you with transport but would appreciate you coming to our house to help us take the bed apart, load it up  and this offer of help is subject to you paying the cost of our petrol into Basel.  I am not sure the mattress will fit in our car but am more than happy to give it a go if you are going to help get it into the car (I am only 150 cm myself so its hardly possible that I'll do this bit on my own  ).
Not really happy to drive much further than a 30 minute radius - even if you do pay our petrol.
PS:  I like rosé wine too ...."
"13.06.2012, 16:31",naynay,"Free: Light fitting, tv stand, canvas prints (Basel)","We are losing the lease on our garage very soon and need to clear out some stored items.
On offer for free:
1. 6 candlelight ceiling light fitting
2. Two landscape canvas prints
3. Ikea Benno TV stand - dismantled. I can't guarantee that all the screws are there as I haven't counted them.  Also not sure where the assembly instructions have gone, I will look for themhttp://www.ikea.com/gb/en/catalog/pr...097/#/10203097
Please see photos and PM me if interested.
Pickup from 4052, Basel.http://www.flickr.com/photos/8036013...7630119472900/
Thanks!
Naomi"
"26.06.2012, 15:19",delu,Rattan Lounge Couch & Chairs,"Hi there
I have two rattan lounge sofas and two chairs to give away for a nice bottle of wine.
Pictures are here: https://www.dropbox.com/sh/ad8gtl9bdqhf7qm/Y9iAt71Fv2
Needs to be fetched in Aarau.
Is anyone interested?"
"29.06.2012, 21:28",Lurksalot,Free Furniture in Zürich (Immediate PickUp!),"IKEA Expedit Black Bookshelf (Unused)http://www.ikea.com/ch/de/catalog/pr...086/#/10103088
IKEA Vivan Curtains (Unused & in packaging)  3m x 1.45m in packaginghttp://www.ikea.com/ch/de/catalog/pr...385/#/00221563
3 x curtain rails: 10CHF for 3; (unused & in packaging)http://www.ikea.com/ch/de/catalog/products/50144874/
Also a small decorative book case, a kettle in perfect condition, a saddle stool (foot stool) and various other things."
"01.07.2012, 17:07",brüder,"[Free]Various Household Items/Furniture[Uetikon, ZH]","Ikea Hemnes Bedframe (200 x 160). Quite similar to this one (but older model) http://www.ikea.com/ch/de/catalog/products/S29889535/  Will need a bit of repair  the metal supporting the slats became slightly warped and a couple of the screws that fix it to the side board no longer stay screwed in. But could be fixed easily enough or attached at a lower level (although this probably requires a thicker mattress). Slats included (slightly cracked at one point, but usable). Mattress not included. Bed and slats will only be given away together. Transport possible at a small cost, but items must be viewed first. Outdoor patio sun umbrella. A few years old, I no longer have any use for it as the balcony in my new apartment is covered. One of the spoke thingies is broken, but you could easily tape it together.Kettle. Basic, few years old, UK/Eire plug.Lexmark 3-in-1 printer/scanner/copier. Quite a few years old now, but in working order. Ink not included. Produces basic prints, not photo quality. UK/Eire plug.Molineux Blender/Liquidiser. Leaks a bit, a few years old but in working order. 1 LitreToaster. Basic model, working orderIron, Philips Azur. Several years old, usable. UK/Eire plug.
PM for further details,"
"01.07.2012, 13:19",new to zurich,Tomato plants for free or exchange for other plants,"Hi,
I have 4 tomato plants to give away.  They are between 30 - 40 cm tall from the top of the soil.  
The variety is unknown cherry tomatoes as it was a mix seed pack but are either Chicco Rosso F1, gelb Sungold F1 or orange sunset F1.  (I have far too many)  
The plants can be collected today, or any evening after 6pm from Thalwil  area (Gattikon) Zurich.
If you have any seedlings /plant of something else in exchange it would be welcome but not necessary"
"30.06.2012, 17:44",stuart123,Free outside bench [Zurich],"It's summer... have a seat.
I have an outside bench which is free for anyone who wants to come and get it. Below is a picture, sorry I don't have a better quality one as this was taken before the bench was packed up for Europe. It is approximately 115cm wide, sorry, I don't know the height. It's still packed from the container, in two packages. Not very big. Please come and get it. I live in Egg, about 6 km from Uster or down the road from Forch depending which way you come. If you're interested, drop me a message.
Thanks
Stuart"
"01.07.2012, 10:26",Spatzi,4 Champagne IKEA glasses for free,"Hi all,
I will give away 4 Champagne IKEA glasses (very good condition). First come, first serve. Please PM me for details.
Thanks
Spatzi"
"27.06.2012, 16:38",Britters2000,"Free Stressless leather sofa, chair + foot stool Basel","All you have to do is pick them up - (Baselland)
In excellent condition, about 12 years old.
The sofa also reclines (each seat separately).
It's all free - must go together!"
"29.06.2012, 18:55",Kathlyn,Furniture to give away [Zug],"Hi
We are moving and have some furniture to give away.
1 Wooden cupboard
2 Ikea shelves 1 with glass doors
1 white big wooden shelving, door and drawers
1 lava lamp
1 bubble lamp 
1 wooden cupboard
1 black corner shelf
1 Playstation 2 with a few games
Stuff can be picked up near Zug. We might be able to deliver some tomorrow in the Zug area.
--> Here's the link http://www.marcelstaub.com/pictures/freestuff"
"30.06.2012, 20:40",sups,free slattedframe babybed,I have spare slatted frame(lattenrost) for a baby bed which i would give free to any good family.
"24.06.2012, 21:51",berufsrevoluzzer,FREE Gas BBQ [Zurich],Title says it all. Pickup in Oerlikon. Ah yeah: it works
"29.06.2012, 19:06",Julia_Karai,Fridge / freezer wanted,"Hello Everybody,
Just wondering if anybody has a used, unwanted fridge / freezer.
Would be happy to have it, hopefully in Walenstadt Sargans, Wessen are (Quanten) 
Thanks for reading!
Have a nice evening!
 Julia"
"29.06.2012, 15:03",AmyWarren,"Free Ikea Sultan Matresses, 1 twin 1 double [Zurich]","1 Sultan Flataker Queen-Sized Mattress, slept on 3 timeswww.ikea.com/de/de/catalog/products/30139784/#/90139776
1 Sultan Fonnes Twin-sized Mattress, slept on 7 timeshttp://www.ikea.com/us/en/catalog/products/50139764/
For Free in Zurich if you can come pick it up in the next week, if not  it's off to the landfill.  I know it seems weird, but these mattresses  were purchased for family visits, and then the family never came to  visit so they are both almost unused and I feel bad about just  throwing them away.  We live in a studio apartment with no privacy and  these were our ""guest beds"" that lived in a closet, so I can guarantee  that these mattresses have led a good clean life free of ""funny  business"" and fluids.  Also, our home is pet and smoking free.
(We transported them both home on the tram/bus.  They are both about 5inch thick foam, so they can be rolled and carried.)  Near Meierhofplatz."
"29.06.2012, 12:58",ErnieH,[Free] 2 Plants [Schaffhausen],"2 Plants free - pick up in Schaffhausen -
 Can be picked up tomorrow (Saturday - June 30th) otherwise I am gone for a week to Munich, and pick up could take place late Saturday on July 7th or anytime on Sunday the 8th.
 Please PM me if you want these, and we can arrange pick up.
Thank You."
"09.06.2012, 12:41",SwissMs2000,Moving to the USA with small children?,"I have 2 Alpha Omega Elite Convertable car seats for free. Like new condition. Less than 5 years old and accident free. Unfortunately since they are American, they are not legal here in Switzerland. Both are 3 point LATCH with 5 point harness. From birth to 45kg. Pick up in Cham.Attachment 44215"
"29.06.2012, 13:04",ErnieH,[Free] small tv [Schaffhausen],"small tv - pick up in Schaffhausen -
 Sorry for the bad pic - I had a different one, but not sure where it is at the moment - and I am at work, so I can not get a better one! (yes its in the pic - bottom left of the table ) I think it is a 13 inch tv or thereabouts... it works ... it has a built in vhs player -- not sure if that works, but I imagine one does not want it for that.. nice for a kitchen or someplace you dont want a big tv at  Has a remote control also.. I can not think of the brand or anything, since I got it used - but it is free  so send me a message if you want to get it.
Can be picked up tomorrow (Saturday - June 30th) otherwise I am gone  for a week to Munich, and pick up could take place late Saturday on July  7th or anytime on Sunday the 8th.
 Please PM me if you want these, and we can arrange pick up.
Thank You."
"29.06.2012, 07:38",CK7,Free French Text books - affoltern am albis,"Hello
I have several sets of French text books in excellent condition looking for a new home.  These were in some boxes of english books I was given for charity and are of no use to the charity.  The books are
Discovering French 1a and 1b - McDougal Littell
ISBN - 10: 0-618 65648-0
ISBN - 10: 0-618 65650-2
If anyone is interested in them please pm me.  
Thanks"
"27.06.2012, 17:21",Ratbert,"18"" LCD Monitor Syncmaster","Bought ca. 12 years ago, been in box in cellar for past five years. Free to good (or not good, for that matter) home. Must be picked up in Kilchberg ZH before Sunday. PM if interested."
"27.06.2012, 10:32",Sagitta,A poang chair and two clothes racks to give away,"Ive got a Poang chair and two clothes racks to give away. The items were bought a little over a year ago upon our arrival to Switzerland and are in good shape. 
  Pick up in Zurich, about 20 minutes from the main station (details by PM). 
  Links to Ikea products:http://www.ikea.com/ch/de/catalog/products/16684783/http://www.ikea.com/ch/de/catalog/pr...21/#/S79805430   (off white)"
"28.06.2012, 15:29",*Whindian*,[WANTED] cheap square pillows,"Pillow fight anyone? 
I'm looking for some pillows (not sleeping pillows, but ones you just toss here and there for decorations and such). I'm in need of a bunch as I'm using them for a party and need to cover a small area with these pillows.
Anyone got some they don't mind passing along? Either that or I end up at IKEA buying a bunch of those blue ones"
"27.06.2012, 17:19",Ratbert,Deep Fryer,"Bought last year, rarely used. Typical Philips or equivalent home model bought at Mediamarkt. Must be collected before Sunday in Kilchberg ZH. Send PM if interested."
"22.06.2012, 13:26",siddhushettar,Free TV with stand to give away,"Brand: Philips
Size: 36 inches
Features: Digital Video HD, Dolby surround."
"27.06.2012, 09:55",McG01,Free Items : Zurich Area 8602 - just come and pick it up.,"Leaving Saturday AM - Everything must go by Friday Lunchtime.http://www.flickr.com/photos/zurichs...7630309959550/
Grundig 28"" TV and Table.
Ikea Computer Table
Toddler High Chair
Ironing Board (gone)
Wooden Shelves (gone))
Childrens Storage Unit (gone)
Plastic Recycle Containers (gone)
Two Vaccum Cleaners (gone)
Children's Desk and Filing Cabinet
Come load up your car / van - help me get out of this place 
Nearest Train Station Dubendorf /Dietlikon. 759 Bus to Wangen Bei Dubendorf - Buyer must collect. Please don't ask me to deliver or meet you anywhere as I am very pressed for time at moment and won't reply.
Many Thanks"
"14.06.2012, 13:09",TidakApa,FREE Coffee table,"I have an Ikea Coffee table. Black in colour. Similar to the image below:
Please send me a PM for details to pick it up.
The coffee table is in Zurich"
"20.06.2012, 12:50",Dee,Free- baby sleeping bags,"Hi
I have 10+ sleeping bags for babies to give away, of varying sizes and thicknesses (from 0 - 4 years) pick up as a bundle by Sunday.
If interested, PM me, pick up in Horgen."
"21.06.2012, 08:37",sashimiso,US appliances,"So, when we moved here, the boss insisted we bring our appliances from the US, use power converters, and not let them go to waste.
... so, this has happened... and now, eight months later.. they sit.. and sit.. and sit..
any chance they are of value to someone?
we have a bread slicer
blender
juicer
and maybe one or two other things"
"25.06.2012, 15:31",giuliapo,2 doors closet in Luzern for pick up this week,"Hello.
I'm moving out of Luzern and I have closet to give away. It has two doors, it's not very big.
It misses a metal hanger inside, I used some nylon as a temporary solution that became permanent to hang some things.
I will move out this Friday (29.06.2012) so if someone wants it, needs to pick it up before that in the evening. It can be disassembled to make it easier for transport.
Some pictures I took this Saturday:https://www.dropbox.com/sh/0frrzlfgu4xofhx/qbSn9jCo9K#/
Cheers,
Bruno"
"21.06.2012, 17:08",Dee,free big bag of baby blankets,"hi
i have a migros bag full of fleece, wool and cotton baby blankets for free.  Useful fot out and about, in the stroller or car, and at home.
PM if interested, pick up in Horgen by Sunday."
"22.06.2012, 20:17",Julia_Karai,Wanted Free Used Furnitures,"Hello Everybody,
 I am just wondering if anybody has any used - second hand furniture, stuff to give away in SG kanton (  especially Wallenstadt, Sargans area)
I would really appreciate to have any stuff you dont need! 
I live in Walenstadt , but I have a car so I can travel and pick up the item.
Thank you so much for any help!
  Julia"
"24.06.2012, 14:51",digikre8,Sunday 24.06 - free stuff outside !!  Baden (dättwil),"We put some more free stuff out on the street TODAY.  If your in the neighborhood come on by. 
PILGERSTRASSE 14
5405 DÄTTWIL
* Kitchen things (Plates, glasses)
* 2 Tables
* Womens Shoes
* Folders"
"21.06.2012, 14:36",Delly,WANTED FREE : broken iphone,"Hi there
I am looking for a broken iPhone for my son, he wants ours all the time to walk around with, throw on the floor, push through the cat flap etc. If anyone has one that isn't working and lying around somewhere- please let me know.
thanks in advance"
"22.06.2012, 15:10",evianers,WANTED upright vacuum cleaner,"WANTED - upright vacuum cleaner - Hoover or similar, in working order. Lausanne/Vevey/Montreux/Chablais. Thanks in advance."
"18.06.2012, 21:14",saskiaandbevan,FREE Air Hockey Table!!!!,"Giving away a free kids air hockey table.  In good condition, with all its bits and works perfectly.  Its about 60cm wide and 120cm long.  FREE FREE FREE."
"15.06.2012, 20:18",Magpie,Free - microwave oven,"I'm getting rid of an old microwave.  It is an old model, but in perfect working condition, although it doesn't have the plate inside anymore (but it does work fine with a normal plate).  Free for anyone who wants to pick it up from Binningen"
"20.06.2012, 15:52",Dee,"Free Tommee Tippee closer to nature bottles, never used","Hi
I have 3 of these never used for free.  Pick up as a bundle in Horgen, by Sunday.
PM if interested,"
"31.05.2012, 11:53",goodhill,looking for a small TV,"anyone has a small tv, doesnt matter if it's old to give away in Zurich?
Need it for a live setup :-)"
"27.05.2012, 11:02",coconut,"FREE sofa, table, baby stuff for sale","I have a lot of things that i've been meaning to sale/give away but just never got the time to take pics or post the thread. 
I'll just add the pics right now and then comeback to edit here to say whats free and the price for each non-fre-item.
2 x Sofa- FREE. ***AVAILABLE***   the sofa its not clean but you can remove the cushion covers and wash them, its easy I've done, its really comfortable, cushions filled with feathers, The white cover and little red cushions are not included."
"19.06.2012, 12:13",Dee,Free paperbacks -,"Hi
I have a 2 migros bags full of paperbacks for collection (as a bundle) - so around 30+ books.
Too many to list, but includes amy tan, nick hornby, pico iyer, bruce chatwin, le carre etc etc.
pick up in horgen, PM if interested."
"19.06.2012, 21:37",papple82,"Wanted: Moving Boxes, Zurich","Hi all,
moving preparation has officialy started! Any one with moving boxes available? We are in Zurich/Zug region,
Thanks!"
"19.06.2012, 09:49",aeustis52,FREE Furniture and more!!! Oerlikon,"Below is a link for the furniture that is free but I also have A LOT of other household goods that need to go! Come see! http://www.flickr.com/photos/6964288...7630079092758/
Items need to be taken before Wednesday at 1pm.
Address: Baumackerstrasse 458050 Zurich (oerlikon)
Please PM for more information."
"13.06.2012, 08:21",Jimbob84,Free household furniture,"Hi all,
Just moved and have a few things to sell/give away:
Coat hanger/mirror/shoe case: H:198cm, D:50cm, W:60cm.
Perfect for small apartments, we had it installed in the hallway.
Please find the photo attached.
We also have 3 ikea curtain rails: free
Ikea black lack table: free
(http://www.ikea.com/ch/de/catalog/pr...958/#/00104291)
PM me for more info.
Pick up in Schwerzenbach near ZH
Cheers,
James"
"14.06.2012, 10:38",ctkoch,"Free wicker baskets, toothbrush holder, and plastic bins","https://picasaweb.google.com/ctkoch/Downloads?authuser=0&authkey=Gv1sRgCPiNmZHake6sgwE  &feat=directlink
Pick up in Zurich please.  Everything less than 1 year old."
"18.06.2012, 20:30",Carrie F,FREE (imperfect) black leather sofa for pick up in Greifensee,"'ello 
I just requested a quote from someone on here for the removal of this sofa. But then it occurred to me that first I should probably post an ad in case anyone would like it. 
Below are a few photos. 
NOTE: It does have quite a few small scratches in the seats (thanks to my cat) and also has some small silver paint marks on the side of it. The 2nd photo shows the paint marks. But these imperfections are why we're giving it away for free. 
It is really comfortable!
If interested, please send me a private message. We live in Greifensee in a 2nd floor apartment that, unfortunately, does not have a lift. My husband could help you load it, though."
"13.06.2012, 12:19",kayo,Free Trisa Electric Grill,"Free Electric Grill by Trisa. Used only twice as I got a gas grill from a friend shortly after I purchased this one. 
Pickup in Dubendorf.
Thanks,
KO"
"18.06.2012, 08:01",neil15,"Free Ikea Trofast Kids Extendable Bed Frame [Baar, ZG]","http://ikeareviews.net/2011/trofast-...tted-bed-base/
Going free, taker to collect.  Message me if interested."
"17.06.2012, 21:35",EricAndEwa,Free men's ski boots (Zurich),"I have men's ski boots (and a helmet) to give away.Specs:Brand: Salomon (http://www.salomon.com/uk/product/mission-6.html)Size: 28 (shoe size 43)Age: Bought in November 2010, used for two seasonsIf you are interested, please send me PM."
"31.10.2011, 22:50",kirley10,english book exchange,"Hi All,   This is for English book readers in Zurich
I have a large selection of English book I would like to exchange for other English books to read.
Ken Follet, ""Fall of Giants""
Diana Gabaldon ""An Echo In The Bone""
Irving Stone ""Agony and the Ecstasy"" best seller on Michelangelo
Stieg Larsson ""The Girl Who Kicked the Hornests' Nest""
I will be at McGee's pub next Tuesday Nov 8th at 7:00 pm,  if anyone would  like to bring their books and do an exchange (swap..no money, no expectation to get the book back.. just an opportunity to get different books to read).  I will be the one in the pub with book on thier table 
Cheers
Lauren"
"17.06.2012, 20:51",Zuriyogini,Free TV! Pick up in Zug,"Free older version TV, has remote control, works for free cable channels with WWZ. About 20X25"". Pick up anytime before July 4th. PM me for address."
"16.06.2012, 18:40",cdcdoc,[WANTED] UK Ipad plug,"I bought two Ipads for some friends in UK (yes, the ones with 299chf ) and of course the charger has the swiss plug. I know it is a long shot but is there anybody out there not needing the UK plug from an Ipad charger? I need two! I do not even know if the UK charger has the detachable plug like the ones from CH and you can replace them with a plug from US for example...Maybe you do not plan to go back to UK any time soon...or maybe I can give you the swiss plug for your UK one 
Any other solution you might have...please PM me!"
"17.06.2012, 14:44",ecb,Baby hooded towels - for Free,"Two lovely baby hooded bath towels - one yellow with gingham edging and the other pale blue with gingham edging - both with little animals embroidered on the hooded part.
Been used but in far too good condition to throw away.
Pick them up from me during my travels around Basel or send me a 7 Chf stamp and I will gladly post them to you."
"16.06.2012, 19:50",vvvnaga,Wanted - FAN,Looking for a FAN
"14.06.2012, 20:49",remucal,Free Misc. Nursing/Pumping Supplies (p/u in Zurich),"We're cleaning up in preparation for a move and I have a few nursing/pumping-related things to give away.  Ideally one soon-to-be mom will take all three things.  Pick up in Zurich Oerlikon or at ETH Zurich.  
1. ~40 individually wrapped Lansinoh nursing pads - these are slimmer than anything I found here and I brought a ton back from the US (too many as it turns out!)
2. ~30 Medela Pump & Save breastmilk bags - include 2 adapters that connect with any Medela pump (never used)
3. Medela Personal Fit breastshields, size large (27 mm) - I bought these just in case the standard ones that came with my pump didn't fit, but I never even opened the box.  They work with every Medela pump (including the hospital grade ones used here)."
"21.04.2012, 18:03",Mama Gee,Free sofa beds(Basel).,"Free to take and in good condition.Send me a private message if you are interested.
See pitures attached."
"16.06.2012, 11:25",Magrangs,Free tickets to knie circus Basel,I have 2 free tickets for the circus in Basel today at 3pm. Tickets are located in Allschwil for anyone who wants to pick them up. First cone first served. Please pm me. Thanks.
"14.06.2012, 13:21",ej2denali,Free: Satellite dish,"Satellite dish in good condition, free - pick up in Cham (6330 ZG)"
"11.06.2012, 08:56",Bookworm,FREE CRT TV [in 8966 Oberwil-Lieli],Free CRT TV with stand. See on my flickr account under 'electrical items' here:http://www.flickr.com/photos/big_mov...7629776224783/
"15.06.2012, 20:27",1snow,free thermomix model 3300,"hi 
i have one thermomix model 3300 to give away, unfortunately the heating seems not working. so if you can fix it or know someone who might fix it then it is a great kitchen tool. 
I live in Waedenswil, canton Zurich. so if you would like to have it then please come and pick it up.
Bests
Lily"
"03.06.2012, 19:10",Dee,Leather / metal console chair,"HI
Free leather / metail console chair for free.  Pick up in Horgen, PM if interested."
"15.06.2012, 10:08",maryp,Baby bed curtains & duvet cover - Basel Stadt 4055,"I inherited some baby curtains (princess canopy style), but they don't fit well on my baby's crib because it has a round rail.  They do fit square or rectangular shaped rails. My friend had it on the ubiquitous IKEA Sniglar crib.  Here are some photos, including the piece that attaches to the bed.
The duvet cover is approximately  110x80 cm
The bed curtains are approximately 155 cm high and 250 wide.
There is a crack in one of the pieces, but it still works, and can be fixed with some tape or ribbon."
"10.08.2011, 17:26",ash00,Hair Dryer,help!  Is anyone giving away a hairdryer in Basel by any chance?  Mine has blew up!
"06.06.2012, 20:34",Lovebug,Wanted: Moving boxes (Zürich),"Hello
Does anybody have some moving boxes to give away? Ideally located in downtown Zürich because I dont have a car... .
I would need about 8-10 boxes.
Thanks very much!"
"14.06.2012, 10:12",Upthehatters2008,Zurich apartment clearance - everything free.,"Hi
Time for me to lighten up again.
I am offering the contents of my apartment for free. The only condition is that you take all or nothing.
This includes , with pics to follow after the weekend
Ikea coffee tables, Ikea book and CD shelves , Poker Table (10 seater, cupped) , folding round wooden dining table - seats 4/8, folding square dining table , seats 4/6, professional wooden / corporate desk with side table, kitchen contents (pots , pans , crockery , cutlery , microwave, kettle , stone grill etc), Ikea double bed , with mattress, 2 single Ikea beds with mattresses , wardrobes , bedside cabinets, chests of drawers, hanging rails , study desks , coat stand , towels , cleaning stuff , spare bed linen, ironing board , toy chest , basement chest freezer , small patio furniture , and loads more odds and sods.
Perfect for a 3/4/5 room apartment , for people starting from scratch or are on a budget.
Again It's a house clerarance, you must take everything. No items available separately for the mean time. Check back in 2 weeks if interested in single items and nobody has responded to this advert.
Please PM if interested.
First come first served."
"09.06.2012, 11:51",naynay,Free: Ikea Hanging Rails [Basel],"We have 5 Ikea Mulig hanging rails - free to a good homehttp://www.ikea.com/ch/de/catalog/products/60179434/
Collection from 4052 Basel
They are assembled but you can quickly take them apart for getting in the back of a car
PM me if interested,
Thanks,
Naomi"
"10.06.2012, 13:44",danb123,"Free: English books, pickup in Würenlos AG","We are moving and cleaning out. I have the following books if anyone wants them:
The Girl With The Dragon Tattoo
The Time Traveler's Wife
Full Dark, No Stars
Persepolis I and II
A Long Way Home
If On A Winter's Night A Traveler
The Dumas Club
Cat's Cradle
Jesus Land
The Lost Continent
Twilight
Last Night At Chateau Marmont
Alice's Adventures In Wonderland and Through The Looking-Glass
Misery
The Hunger Games, Mockingjay (third book in series)
A Peace To End All Peace
Angela's Ashes
Send me a PM if you're interested. Let me know what you might want and I can leave them in our mailbox for pickup.
Regards,
Dan"
"11.06.2012, 14:24",Bookworm,FREE German Workbooks [near Muri AG],". . .  some with writing in them. Can meet in Zurich (central).
  Klipp und Klar, by Christian Fandrych + Ulrike Tallowitz, Klett, 2005; exercises with answers
  Eurolingua, Deutsch 9
  Mittelstufe Deutsch, by Johannes Schumann, Max Hueber Verlag, 2000
  Mittelstufe Deutsch Arbeitsbuch, Max Hueber Verlag, 2001
  Grammatik üben 1: Grammatiktraining Grundstufe, by Werner Heidermann, Verlag für Deutsch, 1997; answers in back
  Alles Gute!, Study Guide, Langenscheidt, 1991; answers in back
  Themen neu 2 Kursbuch + Arbeitsbuch (with answers), 1998
  Themen neu 3 Kursbuch + Arbeitsbuch (with answers), 2001, 2002"
"12.06.2012, 10:31",Lovebug,Cabinet on wheels (for under the desk),"Hello
I am giving away this cabinet that fits perfectly under a desk. I sold the desk and so I dont need it anymore. 
It needs to be picked up latest by Thursday in Zürich (downtown). 
Please PM if interested."
"12.06.2012, 15:11",M_S,The Economist - 2010-2011 - basel,"I have 2010-11 The Economist magazine to give away.
If someone is interested, pm me and i shall keep them else i have to keep them out today night for the recycling."
"11.06.2012, 21:31",sashimiso,free: BOKSEL Coffee table birch veneer,"Hello, 
I have this table I bought from Ikea when I moved here about 6 months ago. It is now in storage in the basement.
If you are interested in it, its in good condition, and free, but you will have to come pick it up. I live in Riehenhttp://www.ikea.com/ch/de/catalog/products/20207165/"
"10.06.2012, 21:10",snowcake,"[free] Petra Bottle Steriliser, Zurich 8050","Hello,
I have a Petra Bottle Steriliser to give away. It's very basic and simple to use.
I have no instruction but I can explain how it works.
You can see a photo under my ad in 'for sale/wanted' forum.
Title of the ad is following.
[for sale] Babyjogger City Mini- complete set & other baby items. Zurich 8050"
"04.04.2012, 14:51",M. Ploymi,Hunger Games book swap (GE/VD),"In light of the recent Hunger Games hysteria, perhaps some might find it useful to set up a bit of a book swap with the trilogy. Much like the McDonalds monopoly stickers, I own the more common of the three, ""The Hunger Games"".
If anyone is willing to loan me ""Catching Fire"", I'd be quite grateful.
Also, if anyone would like to borrow the first book, I'd also be happy to share."
"11.06.2012, 14:40",Udayan Gupta,moving Bixes(Zurich),"Hi,
Please let me know if somebody has some moving boxes which they don't need anymore.
Would be happy to collect them.
Regards,
Udayan"
"14.02.2012, 17:34",rosrae,[FREE] Single divan bed with mattress [Lausanne-Pully],"Single pocket-sprung divan bed with mattress.  Two drawers in divan base.
If you would like this bed, please contact me by PM.
Collection from Pully."
"07.03.2012, 08:58",rosrae,Books - free! - Lausanne-Pully,"Books, including collectable coffee-table books, dating from 1960s onwards.
There are also some more ""modern"" novels and travel books. 
I have two + boxes to give away for FREE but must be collected by the end of this week
Please send me PM if interested. 
Thanks"
"08.06.2012, 16:18",MissS,[Free] Small mountain bike / bahnhof velo (Zurich),"Hi all
I want to get rid of my old mountain bike. It's a bahnhof velo (ie. suitable for leaving anywhere without fear of it being stolen). Size is quite small, I'm 157cm and it would suit anyone my size or shorter, definitely not taller.
Will throw in basket, lock and crank tool. The crank is on its last legs, might be worth changing if you know how (I don't). I just tighten it with the crank tool whenever it needs it.
Reason for getting rid of it: I have three bikes and planning on buying another this week. This one just doesn't get used anymore.
Pick up Zurich 8003. PM if interested.
cheers
sarah."
"09.06.2012, 11:53",naynay,Free: Ikea Lack Side Table [Basel],"http://www.ikea.com/ch/de/catalog/pr...151/#/40104270
It is the pale birch colour.  Is assembled and would fit into a car easily.
Pick up from 4052 Basel.
PM me if interested
Thanks!
Naomi"
"10.06.2012, 14:34",kumar,Children Bike needed,"Hi
Does any one have a bike for sale / give away for a 2.5 year old boy. Please let me know. We are based in Zurich. Thanks a lot
Best
Kumar"
"09.06.2012, 12:55",unoshilpa,"[Free]Studio Wall Unit with folding bed,shelves,wardrode [Winkel near Zurich Airport]","Hello,
Hope this is interesting 
Complete studio with foldable bed, shelves, cupboards
Please visit https://picasaweb.google.com/mailshi...CompleteStudio   for pictures.
Here is the description with measurements:
Part1:
The measurement of the folding bed and wall unit with shelves:
Height: 205 cm
Breadth: 213 cm
Width with bed folded to the wall: 38 cms
Width when bed is in use: 102 cms
Mattress Size: 90x200 cm
The complete set of mattress, blanket and pillow is also included.
Part 2:
The measurement of the wall unit with shelves and cabinets:
Set of 3 cabinets each measuring 50 cm wide, 205 cm height 205, depth 100 cm
Set of 2 shelves each measuring 100 cm wide, 205 cm height, 100 cm depth
A visible crack in one of the shelves occurred in the transport.
One of the hinges is broken and can be easily fixed( Shown in the picture)
Giving it away since we are moving out of a 4.5 room apartment to a 1.5 room apartment this month.
Welcome for visitation!
Please PM me and you can pick it today, right now!"
"04.06.2012, 23:52",ulaula,"free fridge/freezer (Bulach, ZH)","hi,
we have an integrated fridge to give away for free as we no longer need it as we bought a new one.
It is a Whirpool fridge + freezer and it is 5 years old. The freezer works perfectly and the fridge works also, but the min. temperature we were able to have in the fridge was about 6 degrees, so I (as a layperson) think that fridge maybe needs a gas refill and will work on full power again.
We have it for 6 months now (it was already in the apartment when we moved in).
I think the fridge could work well as a second fridge in the utility or in a basement (maybe for storing some veggies or so), while freezer is perfect for storing meat.
  Pick up near Bülach, ZH."
"28.05.2012, 22:27",frens,"[EXCHANGE] 20"" LCD television (Zurich)","Hi everybody,
I would like to exchange my LCD television with a bike and if needed add the remaining part to buy it.
The television is a Seitech 20"" LCD with all speakers included.
The television has the remote, the base to place in table or could be easily hanged to the wall.
Contact me in pvt for either for information or for other interesting exchanges."
"29.07.2011, 13:32",robyn.oz,FREE: Giving away 21 [Zurich - Stäfa],"FREE: Giving away 23 videos [Zürich - Stäfa]
Bundle of 23 videos to give away (VHS). Kids (incl 2 duplicates), Star Wars (1, 4-6), and various others. The images should show the titles clearly."
"02.03.2012, 11:15",robyn.oz,[Free] Leather chair with footstool [Stäfa],"I have a black leather IKEA chair with matching black leather footstool that I am giving away. 
Why? Because the chair is a little broken. It is the pedestal support that is the problem. I have tried gluing it but I don't think I used the right stuff. Currently held together with some tape as seen in photograph."
"07.06.2012, 22:56",Dee,Avent microwave steriliser,"With a few glass bottles, perfect for newborns.
Pick up in horgen, pm if interested."
"21.05.2012, 01:51",jrspet,Wanted - your spare Table or Stand Fan,"If you have one ( or two ), I would be keen in taking it from you, especially if located in Zürich ( before 26.05 ideally ).
Thanks in advance."
